channel,citations,citations_kr_weighted,citations_kr_corresponding_weighted,share,share_kr_weighted,share_kr_corresponding_weighted
USA,25642,22504.314728923997,7594.914946355388,0.2767888947658164,0.27981574287791,0.2345664193431134
IGO,18188,15307.503097694545,7417.645911759379,0.19632775984715192,0.19033151653279004,0.22909152423246437
UK,7030,6343.012583496079,2167.407557720058,0.0758843276734923,0.07886819925486124,0.06693966076809925
EU,6178,5400.076088620786,2250.826515151515,0.0666875357563066,0.06714384865905716,0.06951602749349917
Germany,5382,4576.210487301919,1883.1540404040402,0.05809522781489837,0.056900010175572835,0.05816058552980441
Sweden,4676,4197.088852943377,2158.7619047619046,0.050474411977418206,0.05218606073801113,0.06667264265511164
Canada,3519,3054.1147605797264,1112.209523809524,0.037985341263587394,0.037974468490152825,0.03435022082564631
Spain,2715,2344.6868464273407,892.7914682539682,0.02930667846849667,0.029153533429120315,0.027573567236445377
France,1962,1761.7106033194966,733.2058922558922,0.021178527865631847,0.021904882114457777,0.02264481985677388
Indonesia,1678,1499.911863416378,548.6333333333333,0.018112930559903283,0.018649710394150327,0.016944357829054082
Australia,1606,1343.0681363084898,590.9126322751322,0.017335736876760828,0.01669953574786229,0.018250139899710964
South Korea,1130,997.6614372555548,505.19444444444446,0.01219762308265239,0.01240479346156274,0.015602762208974148
Netherlands,1038,922.8859693325996,358.8,0.011204542265303699,0.0114750449507577,0.011081418535265699
Japan,991,863.2894943998813,306.61574074074076,0.010697207499919042,0.010734030078406566,0.009469725063123375
Brazil,950,776.9329462822657,415.4166666666667,0.010254638874796256,0.009660283912172695,0.012830005434387661
Switzerland,885,754.491185037586,387.1230158730159,0.009553005688625986,0.009381245951239015,0.011956165450176132
Belgium,858,733.9686402005286,272.75,0.009261558057447567,0.009126071279248416,0.008423792936158638
Finland,751,619.3192577878513,265.32142857142856,0.008106561889444199,0.00770053566544611,0.008194363980977153
Portugal,647,598.0322091762318,159.12229437229436,0.006983948791571767,0.007435855252259263,0.004914439080911783
Turkey,571,510.7173810709414,172.5,0.0061635776815880654,0.00635019395642175,0.005327605065031586
Norway,550,469.8510404138461,178.58333333333334,0.005936896190671517,0.005842067154632499,0.005515486789547193
Ireland,515,454.58906926406917,203.66666666666666,0.005559093705810602,0.005652301776459607,0.006290177187892365
New Zealand,421,354.7719363969364,133.41666666666666,0.004544424175041289,0.004411188437902274,0.004120529328075154
Italy,336,285.6645444940337,133.83333333333334,0.003626903854664781,0.0035519160522911727,0.004133397939343347
Malaysia,332,305.3259566520436,106.32857142857142,0.0035837264278235337,0.003796383511766903,0.003283922525799594
Singapore,323,292.6196678321678,148.56666666666666,0.0034865772174307273,0.0036383951576143027,0.004588432033786624
South Africa,245,193.33236281847974,91.6875,0.002644617394026403,0.0024038696301587454,0.002831737909565702
Denmark,242,211.89349206349212,95.73333333333333,0.0026122343238954675,0.002634656313997235,0.0029566921249798484
Taiwan,210,190.98825202575202,48.0,0.0022668149091654884,0.002374723259306928,0.0014824640180957458
Colombia,176,143.09285714285713,56.2,0.0018998067810148853,0.0017791981050855861,0.001735718287853769
India,174,137.3981240981241,92.25,0.0018782180675942616,0.0017083905298895586,0.0028491105347777613
Austria,154,126.15235042735043,70.4,0.0016623309333880247,0.0015685620324734618,0.0021742805598737604
Philippines,149,124.08935786435784,36.611111111111114,0.0016083591498364655,0.001542911049383386,0.001130721976765158
