channel,citations,citations_kr_weighted,citations_kr_corresponding_weighted,share,share_kr_weighted,share_kr_corresponding_weighted
government,50581,44437.666712516846,16720.18617512662,0.36241375110162144,0.36388403268943376,0.35427713351530105
igo,18591,15672.544780005794,7575.062578426046,0.1332048406858355,0.1283368191662473,0.16050487885572134
government > healthcare agency,13659,12590.849850800929,3779.370364357864,0.09786697428475212,0.1031019303586902,0.08007952095469077
other,12276,11402.068044246602,3358.8156144781146,0.08795775505671112,0.0933674247070923,0.07116855969426607
other > aggregator,12211,11348.601377579935,3327.0656144781146,0.08749202891801071,0.09292960544878168,0.07049582203026541
think tank,11193,8913.197948760031,4724.461797924298,0.08019804108421046,0.07298696474629308,0.10010467381404564
government > agency,5938,5285.810033151589,2058.057683982684,0.04254587402466199,0.043283592798352206,0.04360733602208249
igo > healthcare agency,4320,3787.664941399163,1349.6961247816512,0.030952875679781038,0.03101582273140581,0.028598154900672475
igo > development bank,3761,3077.671376284534,1732.7285714285713,0.026947630886957518,0.02520194138320514,0.036714071542993935
government > bank,1729,1148.2742063492062,608.25,0.012388315289430882,0.009402803516727279,0.012887958555225239
think tank > research center,1689,1387.2550129472863,661.7265873015873,0.01210171458869217,0.011359731188084705,0.014021051922784206
government > food and drug safety,1033,945.6879111832645,295.08333333333337,0.007401463096577271,0.007743897379069279,0.006252399129202984
government > research center,587,496.5596244705115,241.525,0.004205865283340618,0.004066147752356791,0.005117573678669586
government > city,439,372.37852898788327,131.91666666666666,0.0031454426906073786,0.003049273529406594,0.0027951278795617963
think tank > university affiliated,359,286.72717086834734,168.9,0.002572241289129952,0.002347905435543901,0.003578752486605085
government > legislative research,296,238.77815730021615,138.9375,0.0021208451854664787,0.0019552682493133877,0.0029438894233729663
think tank > industry association,247,228.98749999999998,65.83333333333333,0.0017697593270615546,0.0018750960862668655,0.0013949153663005806
think tank > research centre,191,143.09126984126982,85.0,0.001368518346027356,0.0011717228235529058,0.0018010299666159396
igo > bank,163,110.88955026455027,51.416666666666664,0.0011678978555102568,0.0009080345508333471,0.001089446558237289
igo > research center,89,74.72719918969919,35.33333333333333,0.0006376865591436371,0.0006119140946046813,0.0007486634371030964
government > technology assessment,78,65.51607142857144,30.75,0.000558871366440491,0.0005364874900302188,0.0006515490761581194
think tank > consultancy,52,35.588596491228074,24.0,0.0003725809109603273,0.00029142218678500993,0.0005085261082209712
think tank > agency,23,17.708333333333332,3.0,0.00016479540292476015,0.00014500715771665444,6.35657635276214e-05
government > legislation,23,20.32222222222222,13.0,0.00016479540292476015,0.00016641135150667353,0.00027545164195302607
government > academy,23,17.41349206349206,11.1,0.00016479540292476015,0.00014259280884979788,0.00023519332505219918
government > transcripts,14,12.428571428571429,3.0,0.00010031024525854966,0.00010177309086130236,6.35657635276214e-05
government > armed forces,2,2.0,1.0,1.4330035036935665e-05,1.637727898917509e-05,2.1188587842540468e-05
