country,citations,share
US,5839.524930624931,0.5481063385230835
GB,1021.7361074597916,0.09590164327574542
KR,539.3867521367522,0.050627628321452255
DE,405.65476190476187,0.03807534840480213
CA,303.45421245421244,0.02848265557107307
FR,280.79487179487177,0.026355816763175503
AU,229.0650183150183,0.021500377164916307
NL,207.97619047619054,0.01952094898406144
IT,156.3489010989011,0.014675136202262167
JP,129.1602564102564,0.012123170303196587
SE,124.24175824175823,0.011661512881711869
CH,122.77380952380952,0.01152372907112911
CN,122.70512820512819,0.011517282542249692
ES,109.08699633699634,0.010239064796038705
BE,82.34798534798534,0.007729302172703713
DK,78.16666666666666,0.007336837494524748
NO,73.75,0.00692228271071898
SG,56.0,0.005256241787122209
HK,55.0,0.005162380326637884
FI,49.52826617826618,0.004648795398748469
IL,47.833333333333336,0.00448970652650022
IN,45.976190476190474,0.004315392385600758
AT,35.83333333333333,0.0033633690006883176
IE,32.44230769230769,0.0030450823814818567
RU,27.583333333333332,0.0025890119516926353
TW,27.05128205128205,0.0025390728413067446
CL,26.05128205128205,0.0024452113808224193
TR,25.0,0.0023465365121081287
AR,24.0,0.0022526750516238037
NZ,21.55263157894737,0.002022961477280587
ZA,19.666666666666668,0.001845942056191728
BR,17.564102564102562,0.0016485923187631467
ET,17.166666666666668,0.0016112884049809151
IS,16.0,0.0015017833677492024
GR,15.0,0.0014079219072648773
MY,15.0,0.0014079219072648773
PT,14.476190476190476,0.0013587563803445165
PH,13.666666666666666,0.001282773293285777
MX,12.75,0.0011967336211751458
TH,11.884615384615385,0.0011155073572944798
CZ,11.0,0.0010324760653275767
VN,10.551282051282051,0.0009903587433153795
PL,10.142857142857142,0.0009520233849124408
ID,10.0,0.0009386146048432515
LV,10.0,0.0009386146048432515
OM,9.0,0.0008447531443589264
IR,8.5,0.0007978224141167638
HU,8.5,0.0007978224141167638
CY,8.0,0.0007508916838746012
PK,8.0,0.0007508916838746012
SA,7.5,0.0007039609536324386
NG,6.0,0.0005631687629059509
EE,6.0,0.0005631687629059509
GH,5.5,0.0005162380326637884
BD,4.666666666666666,0.0004380201489268507
KW,4.5,0.0004223765721794632
SI,4.0,0.0003754458419373006
CO,4.0,0.0003754458419373006
BN,3.5,0.00032851511169513804
PE,3.5,0.00032851511169513804
KH,3.0,0.00028158438145297547
SK,3.0,0.00028158438145297547
UY,3.0,0.00028158438145297547
LK,3.0,0.00028158438145297547
LB,3.0,0.00028158438145297547
LU,2.238095238095238,0.0002100708877506325
BG,2.1666666666666665,0.0002033664977160378
EG,2.0,0.0001877229209686503
KZ,2.0,0.0001877229209686503
TN,2.0,0.0001877229209686503
QA,2.0,0.0001877229209686503
SS,2.0,0.0001877229209686503
PS,2.0,0.0001877229209686503
CG,1.5,0.00014079219072648773
MO,1.5,0.00014079219072648773
MA,1.5,0.00014079219072648773
UG,1.5,0.00014079219072648773
CR,1.0,9.386146048432515e-05
VE,1.0,9.386146048432515e-05
MT,1.0,9.386146048432515e-05
AL,1.0,9.386146048432515e-05
LT,1.0,9.386146048432515e-05
CD,1.0,9.386146048432515e-05
BH,1.0,9.386146048432515e-05
EC,1.0,9.386146048432515e-05
BW,1.0,9.386146048432515e-05
TZ,1.0,9.386146048432515e-05
UZ,1.0,9.386146048432515e-05
AE,1.0,9.386146048432515e-05
CI,1.0,9.386146048432515e-05
AM,1.0,9.386146048432515e-05
RO,1.0,9.386146048432515e-05
TT,1.0,9.386146048432515e-05
CU,1.0,9.386146048432515e-05
PR,0.6666666666666666,6.25743069895501e-05
ZM,0.5,4.6930730242162576e-05
GA,0.5,4.6930730242162576e-05
HR,0.5,4.6930730242162576e-05
DZ,0.5,4.6930730242162576e-05
SN,0.5,4.6930730242162576e-05
GT,0.25,2.3465365121081288e-05
SL,0.09090909090909091,8.53286004402956e-06
MD,0.02564102564102564,2.406704114982696e-06
