country,citations,share
US,13398.566666666668,0.5595091939143385
GB,2035.9499999999998,0.08501900029231217
KR,1114.6666666666667,0.04654723625784719
FR,848.9500000000002,0.03545120474380924
DE,804.1250000000002,0.03357936275942707
CA,678.9083333333333,0.0283504544758564
NL,496.74999999999994,0.02074372572764855
AU,434.9083333333333,0.018161286730418558
IT,377.66666666666663,0.01577093860052059
ES,303.41666666666663,0.012670341448476494
SE,293.91666666666663,0.012273632048551659
CN,282.0333333333333,0.01177739730794393
JP,280.53333333333336,0.01171475898164001
CH,271.45833333333337,0.011335797107501287
BE,187.45833333333334,0.007828050834481702
NO,160.91666666666669,0.006719700449603986
HK,130.45,0.005447446444231009
DK,127.62499999999999,0.005329477596358624
IN,114.86666666666666,0.004796703832073606
SG,112.33333333333333,0.004690914658760317
IL,109.83333333333333,0.004586517448253781
FI,96.875,0.004045391907128241
IE,84.58333333333334,0.0035321056221377764
AT,77.45833333333334,0.0032345735721941507
RU,74.33333333333334,0.003104077059060982
TW,73.5,0.003069277988892136
CL,72.0,0.0030066396625882154
NZ,50.833333333333336,0.0021227432802995503
BR,48.0,0.0020044264417254766
PT,47.66666666666667,0.001990506813657939
TR,47.166666666666664,0.0019696273715566317
GR,40.5,0.001691234810205871
ZA,35.0,0.0014615609470914935
AR,34.5,0.0014406815049901865
MY,33.5,0.0013989226207875723
MX,32.75,0.0013676034576356117
PH,31.333333333333332,0.001308445038348575
ID,28.5,0.0011901281997745018
CZ,24.333333333333332,0.0010161328489302764
ET,21.916666666666668,0.0009152155454406258
PK,19.833333333333332,0.000828217870018513
HU,18.333333333333336,0.000765579543714592
IS,18.0,0.0007516599156470538
TH,17.833333333333332,0.0007447001016132847
IR,17.75,0.0007412201945964003
BD,16.333333333333336,0.0006820617753093638
PL,15.5,0.0006472627051405186
VN,15.0,0.0006263832630392115
LV,14.75,0.000615943541988558
OM,13.0,0.0005428654946339833
NG,13.0,0.0005428654946339833
SA,12.5,0.0005219860525326762
CY,12.0,0.0005011066104313692
SI,11.666666666666668,0.0004871869823638312
CO,11.0,0.0004593477262287551
UY,10.5,0.00043846828412744804
ST,10.0,0.000417588842026141
GH,9.0,0.0003758299578235269
MA,9.0,0.0003758299578235269
BG,7.999999999999999,0.00033407107362091277
KW,7.5,0.00031319163151960575
AE,6.5,0.00027143274731699165
MO,6.5,0.00027143274731699165
LU,6.5,0.00027143274731699165
EE,5.833333333333333,0.00024359349118191557
HR,5.5,0.00022967386311437756
SK,4.5,0.00018791497891176346
EG,4.5,0.00018791497891176346
BN,4.5,0.00018791497891176346
TT,4.0,0.00016703553681045639
LK,4.0,0.00016703553681045639
KZ,4.0,0.00016703553681045639
UZ,4.0,0.00016703553681045639
LB,4.0,0.00016703553681045639
KE,4.0,0.00016703553681045639
CR,4.0,0.00016703553681045639
UG,3.25,0.00013571637365849583
SD,3.0,0.0001252766526078423
CU,3.0,0.0001252766526078423
PS,3.0,0.0001252766526078423
QA,3.0,0.0001252766526078423
KH,3.0,0.0001252766526078423
LT,3.0,0.0001252766526078423
AZ,3.0,0.0001252766526078423
NP,2.6666666666666665,0.00011135702454030426
PE,2.5,0.00010439721050653525
RO,2.3333333333333335,9.743739647276623e-05
SS,2.333333333333333,9.743739647276622e-05
DO,2.0,8.351776840522819e-05
MT,2.0,8.351776840522819e-05
JO,2.0,8.351776840522819e-05
UA,2.0,8.351776840522819e-05
RW,2.0,8.351776840522819e-05
MN,2.0,8.351776840522819e-05
BW,2.0,8.351776840522819e-05
TN,1.5,6.263832630392114e-05
ZM,1.5,6.263832630392114e-05
CG,1.5,6.263832630392114e-05
DZ,1.5,6.263832630392114e-05
VE,1.0,4.1758884202614097e-05
JM,1.0,4.1758884202614097e-05
RS,1.0,4.1758884202614097e-05
BM,1.0,4.1758884202614097e-05
AL,1.0,4.1758884202614097e-05
CI,1.0,4.1758884202614097e-05
MK,1.0,4.1758884202614097e-05
BH,1.0,4.1758884202614097e-05
CD,1.0,4.1758884202614097e-05
MW,1.0,4.1758884202614097e-05
KG,1.0,4.1758884202614097e-05
EC,1.0,4.1758884202614097e-05
SL,1.0,4.1758884202614097e-05
TZ,1.0,4.1758884202614097e-05
NA,1.0,4.1758884202614097e-05
AM,1.0,4.1758884202614097e-05
PR,0.9166666666666665,3.8278977185729586e-05
GA,0.5,2.0879442101307048e-05
PF,0.5,2.0879442101307048e-05
SY,0.5,2.0879442101307048e-05
SN,0.5,2.0879442101307048e-05
LA,0.5,2.0879442101307048e-05
MG,0.3333333333333333,1.3919628067538033e-05
GT,0.25,1.0439721050653524e-05
