policy_country,flow_citations,flow_share,base_citations,base_share,inflation_ratio
UK,73667,0.3279087675879229,7394,0.07583434185965417,9.963078171490398
IGO,36630,0.16304855846913294,19327,0.19822157494205248,1.8952760387023335
USA,36362,0.1618556288030197,26925,0.27614818157576254,1.3504921077065923
Germany,15558,0.06925223785593149,5672,0.058173165678652744,2.7429478138222847
EU,7456,0.033188371606493454,6498,0.06664478677360465,1.1474299784549091
Sweden,5839,0.025990732538937137,4829,0.04952718918586285,1.2091530337544005
Canada,5317,0.0236671904280748,3696,0.03790691472995426,1.438582251082251
France,3781,0.01683010099841091,2048,0.02100469733954175,1.84619140625
Spain,3587,0.01596656235950805,2854,0.029271194437037188,1.2568325157673441
Australia,2663,0.011853625749475868,1741,0.017856043978585055,1.5295807007466973
Netherlands,2577,0.01147081996109625,1080,0.01107669586264897,2.386111111111111
USA > Washington,2047,0.009111668009454413,0,0.0,
Indonesia,1897,0.008443983494838799,1736,0.01780476297922094,1.092741935483871
Belgium,1690,0.007522578864669251,933,0.009569034481343972,1.8113612004287245
Brazil,1460,0.006498795942258643,1001,0.010266456072695945,1.4585414585414584
Japan,1349,0.006004709401443088,1039,0.010656191667863224,1.2983638113570741
USA > California,1276,0.0056797696043301565,0,0.0,
South Korea,1264,0.0056263548431609075,1160,0.011897191852474821,1.089655172413793
Switzerland,1195,0.005319219966437725,925,0.009486984882361387,1.2918918918918918
Spain > Catalunya,1158,0.00515452445283254,0,0.0,
Finland,974,0.004335498114904053,792,0.008122910299275912,1.22979797979798
Portugal,918,0.0040862292294475576,666,0.006830629115300199,1.3783783783783783
Ireland,872,0.003881472644965436,538,0.0055178355315788396,1.620817843866171
Norway,726,0.003231593050739572,581,0.005958852126110234,1.2495697074010328
Turkey,696,0.0030980561478164493,596,0.00611269512420258,1.167785234899329
Denmark,678,0.0030179340060625752,255,0.002615330967569896,2.6588235294117646
New Zealand,631,0.002808726191483016,456,0.004676827142007343,1.3837719298245614
Italy,514,0.0022879322700828375,365,0.0037435129535804395,1.4082191780821918
Malaysia,499,0.002221163818621276,351,0.003599926155360916,1.4216524216524216
Spain > Valencia,439,0.0019540900127750305,0,0.0,
Canada > Ontario,435,0.0019362850923852807,0,0.0,
Canada > Québec,390,0.0017359797380005965,0,0.0,
Singapore,389,0.001731528507903159,334,0.0034255707575229226,1.1646706586826348
UK > Scotland,342,0.0015223206933235999,0,0.0,
South Africa,304,0.0013531739496209778,255,0.002615330967569896,1.192156862745098
Mexico,300,0.001335369029231228,90,0.000923057988554081,3.3333333333333335
USA > New York,287,0.0012775030379645416,0,0.0,
USA > Texas,262,0.001166222285528606,0,0.0,
Australia > New South Wales,253,0.001126161214651669,0,0.0,
Spain > Euskadi,239,0.001063843993287545,0,0.0,
Taiwan,235,0.0010460390728977953,219,0.0022461077721482635,1.0730593607305936
Colombia,234,0.0010415878428003578,182,0.001866628376853808,1.2857142857142858
India,211,0.000939209550559297,189,0.00193842177596357,1.1164021164021165
Australia > Western Australia,205,0.0009125021699746725,0,0.0,
USA > Colorado,177,0.0007878677272464246,0,0.0,
Spain > Madrid,173,0.0007700628068566749,0,0.0,
Austria,172,0.0007656115767592374,166,0.0017025291788886382,1.036144578313253
Philippines,171,0.0007611603466617999,154,0.0015794547804147607,1.1103896103896105
Spain > Asturias,170,0.0007567091165643626,0,0.0,
Argentina,164,0.000730001735979738,139,0.001425611782322414,1.1798561151079137
USA > Minnesota,163,0.0007255505058823006,0,0.0,
Spain > Murcia,152,0.0006765869748104889,0,0.0,
Chile,145,0.0006454283641284269,132,0.001353818383212652,1.0984848484848484
Peru,143,0.000636525903933552,139,0.001425611782322414,1.0287769784172662
Thailand,136,0.00060536729325149,113,0.0011589505856290127,1.2035398230088497
USA > Virginia,136,0.00060536729325149,0,0.0,
USA > Michigan,134,0.0005964648330566152,0,0.0,
Uruguay,130,0.0005786599126668655,110,0.0011281819860105434,1.1818181818181819
Serbia,128,0.0005697574524719906,90,0.000923057988554081,1.4222222222222223
Australia > Queensland,126,0.0005608549922771158,0,0.0,
UK > Wales,125,0.0005564037621796783,0,0.0,
Spain > Galicia,124,0.0005519525320822409,0,0.0,
Egypt,120,0.0005341476116924913,118,0.0012102315849931284,1.0169491525423728
USA > Hawaii,119,0.0005296963815950538,0,0.0,
