group_value,policy_docs,citing_policy_docs,citation_rows,citing_share,mean_per_citing_doc,median_per_citing_doc,trimmed_mean_per_citing_doc,p75_per_citing_doc,group_label
IGO,276670,274049,5864405.0,0.9905266201612029,21.399111107867572,7.0,12.392586879106036,20.0,IGO
USA,343601,340739,5714759.0,0.9916705713894896,16.771661007398624,4.0,9.450414716648904,15.0,USA
UK,100726,99141,1483406.0,0.9842642416059408,14.96258863638656,3.0,7.374065472592498,11.0,UK
EU,100737,84670,1451671.0,0.8405054746518161,17.14504547065076,5.0,10.502803018061131,17.0,EU
Germany,59139,57145,1398736.0,0.9662828252084074,24.476962113920727,14.0,17.408934454895174,30.0,Germany
Canada,72351,71984,1173284.0,0.9949275061851253,16.299233162925095,5.0,9.8673622985079,16.0,Canada
Sweden,57266,56978,881838.0,0.9949708378444452,15.47681561304363,6.0,10.276528934778995,17.0,Sweden
Australia,46488,46219,750653.0,0.9942135604887282,16.241221142820052,5.0,9.498144480112925,15.0,Australia
Spain,35422,34390,596531.0,0.9708655637739259,17.34605990113405,4.0,10.133019243124178,16.0,Spain
France,26131,25864,482529.0,0.9897822509662852,18.656394989174142,4.0,10.471167141114273,15.25,France
South Korea,2742,2726,32935.0,0.9941648431801605,12.081804842259722,5.0,8.017767477790652,13.0,Republic of Korea
