group_value,policy_docs,citing_policy_docs,citation_rows,citing_share,mean_per_citing_doc,median_per_citing_doc,trimmed_mean_per_citing_doc,p75_per_citing_doc,group_label
government,751201,724759,11390894.0,0.9648003663466902,15.716802412940025,4.0,8.4751232409951,13.0,government
igo,279051,276468,5925124.0,0.99074362750895,21.4315002097892,7.0,12.395709209334886,20.0,igo
think tank,316463,312113,4608280.0,0.9862543172503578,14.764780704424359,6.0,10.34043485589078,18.0,think tank
government > healthcare agency,46340,45961,1696706.0,0.9918213206732844,36.916211570679486,7.0,15.96562542939587,22.0,government > healthcare agency
igo > development bank,66259,66076,1450954.0,0.997238111049065,21.95886554876203,11.0,15.232028537758385,25.0,igo > development bank
other,34369,34223,1445986.0,0.995751985801158,42.25187739239693,22.0,30.991512654140656,52.0,other
other > aggregator,32208,32086,1412473.0,0.9962121212121212,44.021473539861624,23.0,32.46770119090581,55.0,other > aggregator
government > agency,69527,67868,1325438.0,0.9761387662347002,19.52964578299051,6.0,11.774197550007752,18.0,government > agency
igo > healthcare agency,36393,36080,942127.0,0.9913994449482043,26.112167405764968,7.0,13.223483080513418,20.0,igo > healthcare agency
government > bank,35472,35051,664681.0,0.9881314839873703,18.963253544834668,14.0,15.609285435611175,26.0,government > bank
think tank > research center,33121,32773,563911.0,0.989493070861387,17.206572483446738,6.0,11.088362691308115,18.0,think tank > research center
think tank > university affiliated,21046,20730,188625.0,0.9849852703601635,9.099131693198263,3.0,6.065657847966283,9.0,think tank > university affiliated
government > city,23248,22873,186377.0,0.9838695801789401,8.14834083854326,2.0,4.052044097381718,5.0,government > city
government > food and drug safety,5299,5279,140887.0,0.9962257029628232,26.688198522447433,9.0,16.082153539381853,24.0,government > food and drug safety
