year,source_type_primary,policy_docs,citations,citations_per_doc_mean,citations_per_doc_median,citations_per_doc_p95
1990,government,292,2729.0,9.345890410958905,4.0,36.0
1990,igo,1010,10224.0,10.122772277227723,4.0,29.0
1990,other,12,97.0,8.083333333333334,6.0,22.19999999999999
1990,think tank,145,1556.0,10.73103448275862,4.0,47.39999999999995
1991,government,264,3472.0,13.151515151515152,4.0,54.39999999999998
1991,igo,947,11200.0,11.826821541710665,5.0,44.0
1991,other,30,256.0,8.533333333333333,5.0,24.549999999999997
1991,think tank,170,1338.0,7.870588235294117,4.0,30.099999999999966
1992,government,229,2510.0,10.960698689956331,5.0,32.0
1992,igo,1089,10634.0,9.76492194674013,4.0,30.0
1992,other,43,405.0,9.418604651162791,6.0,26.699999999999996
1992,think tank,187,1748.0,9.3475935828877,4.0,37.39999999999998
1993,government,319,4860.0,15.235109717868339,4.0,55.599999999999795
1993,igo,933,6639.0,7.115755627009646,2.0,30.0
1993,other,74,486.0,6.5675675675675675,4.0,23.349999999999994
1993,think tank,217,1952.0,8.995391705069125,3.0,33.99999999999994
1994,government,354,4443.0,12.55084745762712,3.5,38.69999999999993
1994,igo,1368,9266.0,6.773391812865497,2.0,22.0
1994,other,42,412.0,9.80952380952381,7.5,24.849999999999987
1994,think tank,249,2453.0,9.85140562248996,4.0,35.19999999999996
1995,government,373,4451.0,11.932975871313673,3.0,37.39999999999998
1995,igo,1626,18069.0,11.112546125461254,2.0,50.0
1995,other,65,591.0,9.092307692307692,5.0,22.799999999999997
1995,think tank,305,3455.0,11.327868852459016,5.0,34.60000000000002
1996,government,546,6973.0,12.771062271062272,4.0,46.5
1996,igo,1276,14117.0,11.06347962382445,2.0,28.0
1996,other,70,754.0,10.771428571428572,5.0,48.0
1996,think tank,403,4122.0,10.228287841191067,5.0,40.89999999999998
1997,government,723,9576.0,13.244813278008298,4.0,53.399999999999864
1997,igo,1352,10500.0,7.766272189349112,2.0,30.0
1997,other,82,1176.0,14.341463414634147,7.0,42.95
1997,think tank,447,5020.0,11.230425055928412,5.0,42.69999999999999
1998,government,1129,19515.0,17.28520814880425,3.0,81.0
1998,igo,1957,17374.0,8.877874297393971,2.0,34.0
1998,other,117,2067.0,17.666666666666668,11.0,50.19999999999999
1998,think tank,844,8037.0,9.522511848341232,5.0,26.0
1999,government,1727,24247.0,14.039953676896353,4.0,57.099999999999454
1999,igo,2121,21175.0,9.983498349834983,3.0,38.0
1999,other,138,2946.0,21.347826086956523,9.0,68.40000000000009
1999,think tank,1393,16597.0,11.914572864321608,7.0,35.0
2000,government,3003,42157.0,14.038295038295038,4.0,54.90000000000009
2000,igo,2604,31834.0,12.225038402457757,3.0,41.0
2000,other,185,3965.0,21.43243243243243,13.0,63.19999999999993
2000,think tank,1774,21242.0,11.974069898534385,7.0,37.34999999999991
2001,government,4178,79726.0,19.082336045955003,4.0,77.0
2001,igo,3216,54981.0,17.09608208955224,5.0,48.0
2001,other,231,4784.0,20.70995670995671,10.0,65.5
2001,think tank,2284,28271.0,12.37784588441331,7.0,36.0
2002,government,5624,83629.0,14.8700213371266,4.0,54.0
2002,igo,3210,42275.0,13.169781931464174,4.0,45.0
2002,other,257,6287.0,24.46303501945525,15.0,82.19999999999999
2002,think tank,2909,38343.0,13.180818150567205,8.0,39.0
2003,government,6535,85496.0,13.082785003825554,4.0,46.29999999999927
2003,igo,4138,60762.0,14.68390526824553,5.0,50.0
2003,other,459,9826.0,21.40740740740741,11.0,71.09999999999997
2003,think tank,3605,46634.0,12.935922330097087,8.0,36.0
2004,government,7381,108500.0,14.699905161902182,4.0,52.0
2004,igo,4504,72268.0,16.045293072824155,5.0,57.0
2004,other,396,8347.0,21.078282828282827,12.0,69.5
2004,think tank,4290,58845.0,13.716783216783217,8.0,43.0
2005,government,9056,130215.0,14.378864840989399,4.0,47.0
2005,igo,5018,74260.0,14.798724591470705,6.0,53.0
