year,policy_docs,citations,citations_per_doc_mean,citations_per_doc_median,citations_per_doc_trimmed_mean,p90,p95,p99,top_share_citations
1990,1459,14606.0,10.010966415352982,4.0,7.1349605168700645,24.0,32.0,85.42000000000007,0.1474736409694646
1991,1411,16266.0,11.527994330262226,4.0,7.863298662704309,24.0,44.0,101.50000000000045,0.16857248247879011
1992,1548,15297.0,9.881782945736434,4.0,6.827891156462585,24.0,30.649999999999864,81.52999999999997,0.1666993528142773
1993,1543,13937.0,9.032404406999351,3.0,5.332878581173261,19.0,31.0,100.89999999999964,0.20872497668077777
1994,2013,16574.0,8.233482364629905,2.0,4.684265551489807,15.0,25.0,81.63999999999965,0.2610112223965247
1995,2369,26566.0,11.214014352047277,3.0,6.941803642825411,25.0,45.0,87.0,0.19814800873296695
1996,2295,25966.0,11.314161220043573,3.0,5.9523591387998165,21.0,36.0,119.05999999999995,0.3000462142802126
1997,2604,26272.0,10.089093701996928,3.0,6.283346806790623,24.0,38.0,95.0,0.18053440925700365
1998,4047,46993.0,11.611811218186311,3.0,6.749480249480249,24.0,42.0,117.61999999999989,0.20964824548336985
1999,5379,64965.0,12.077523703290575,4.0,7.473036342321219,25.0,44.0,110.0,0.1900561840991303
2000,7566,99198.0,13.111022997620935,5.0,7.971361045460864,28.0,44.0,132.0,0.2089860682675054
2001,9909,167762.0,16.930265415279038,5.0,8.762107051826678,31.0,54.0,188.0,0.28974976454739454
2002,12000,170534.0,14.211166666666667,5.0,8.656709880868956,29.0,48.0,149.02000000000044,0.20633422074190483
2003,14737,202718.0,13.755716903033182,5.0,8.727642276422765,29.0,47.0,135.0,0.195902682544224
2004,16571,247960.0,14.963490435097459,5.0,9.174946004319654,31.0,52.5,138.0,0.20775528311017907
2005,19210,278244.0,14.48433107756377,6.0,9.015491569958398,30.0,48.0,139.90999999999985,0.20223976078549763
2006,22764,337676.0,14.83377262344052,5.0,9.141669745105283,31.0,51.0,144.0,0.20339319347540247
2007,27487,430612.0,15.66602393858915,6.0,9.475284297583949,33.0,54.0,152.13999999999942,0.21245576063834729
2008,27439,450647.0,16.423594154305913,6.0,10.023662511984659,35.0,58.0,156.0,0.20140597851533462
2009,32989,518226.0,15.709054533329292,5.0,9.66397729447031,34.0,55.0,164.11999999999898,0.19125246514069152
2010,35693,589011.0,16.502143277393326,6.0,10.246772767462422,36.0,60.0,162.0,0.19003550018590484
2011,40784,679122.0,16.651677128285602,5.0,10.267722629243629,37.0,60.0,169.0,0.19409620068264613
2012,54740,1095505.0,20.012879064669345,7.0,11.934671434613758,43.0,74.0,215.61000000000058,0.19771247050447055
2013,56009,1018397.0,18.18273848845721,6.0,11.038754741071763,40.0,66.0,184.0,0.1992228963753821
2014,64700,1224336.0,18.923276661514684,6.0,11.241992130337225,41.0,67.0,179.0,0.22141062584127233
2015,68314,1195631.0,17.501990807155195,5.0,10.513232645143411,40.0,66.0,176.86999999999534,0.20138487543397587
2016,77319,1394186.0,18.031609306897398,5.0,10.27997496700815,40.0,67.0,192.0,0.22844871487735496
2017,82845,1436396.0,17.33835475888708,4.0,9.89557600761663,39.0,64.0,178.0,0.23246931904572277
2018,91067,1565685.0,17.192671329899962,4.0,9.649346001546968,37.0,62.0,183.0,0.2403401705962566
2019,91724,1683121.0,18.34984300728272,4.0,10.051156553036382,40.0,68.0,198.0,0.24720920242810826
2020,96775,1654481.0,17.096161198656677,5.0,9.99388990965329,39.0,64.0,181.25999999999476,0.21303055157478387
2021,101876,1854251.0,18.201058149122463,5.0,10.457212183789364,43.0,69.0,191.0,0.22182865210804795
2022,93061,1758017.0,18.89101771956029,5.0,10.762314255042657,43.0,70.0,206.0,0.22971450219195833
2023,81760,1505828.0,18.4176614481409,4.0,10.806835143342425,44.0,71.0,199.0,0.20408838194003565
2024,58237,1023329.0,17.571801432079262,4.0,10.23070253084524,42.0,68.0,191.0,0.20898068949477636
2025,2852,51049.0,17.899368863955118,4.0,9.576596530084903,39.0,60.44999999999982,140.48999999999978,0.29624478442280944
