cohort,threshold,works,works_ge,share
≤2015,2,4870458,2439585,0.5008943717408096
≤2015,5,4870458,810336,0.16637778213055118
≤2015,10,4870458,323614,0.06644426458456268
2016–2019,2,1016676,450765,0.4433713395418009
2016–2019,5,1016676,130069,0.1279355468212095
2016–2019,10,1016676,47940,0.04715366547454646
2020–2021,2,436885,182430,0.4175698410336816
2020–2021,5,436885,50836,0.11636014054041681
2020–2021,10,436885,19028,0.04355379562127333
2022–2025,2,208346,70454,0.33815863995469075
2022–2025,5,208346,15434,0.07407869601528227
2022–2025,10,208346,5079,0.024377717834755647
